t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
213.77;0.1875;-0.725;0.6;0.05908203125;-0.85107421875;0.54248046875;-0.00999322493225;-0.00423441734417;0.0015243902439;24.9257352315;96662.7940908;376.36575507;0
213.779;0.2;-0.75;0.6;0.04736328125;-0.849609375;0.5478515625;-0.0116869918699;-0.00440379403794;0.0010162601626;24.9257352315;96662.7940908;376.36575507;0
213.787;0.3;-0.75;0.6;0.0634765625;-0.84228515625;0.54638671875;-0.0135501355014;-0.00457317073171;0.000846883468835;24.9257352315;96662.7940908;376.36575507;0
213.796;0.3;-0.75;0.6;0.0615234375;-0.83984375;0.5380859375;-0.0130420054201;-0.00423441734417;0.000508130081301;24.9257352315;96659.7253058;376.619420217;0
213.808;0.2;-0.75;0.6;0.05419921875;-0.8486328125;0.55029296875;-0.012364498645;-0.00592818428184;-0.000169376693767;24.9320655499;96661.0312498;376.511470162;0
213.816;0.175;-0.775;0.6;0.06591796875;-0.8388671875;0.52490234375;-0.0125338753388;-0.00491192411924;-0.0010162601626;24.9320655499;96661.0312498;376.511470162;0
213.825;0.15;-0.8;0.6;0.0576171875;-0.8486328125;0.53173828125;-0.0121951219512;-0.00491192411924;-0.000677506775068;24.9320655499;96661.0312498;376.511470162;0
213.833;0.2;-0.75;0.6;0.06298828125;-0.84375;0.5322265625;-0.0118563685637;-0.00491192411924;0.0;24.9320655499;96658.7296303;376.70172428;0
213.842;0.2;-0.75;0.6;0.0615234375;-0.84619140625;0.54150390625;-0.0120257452575;-0.00423441734417;0.000846883468835;24.9194046649;96655.3505666;376.98104919;0
213.85;0.25;-0.75;0.6;0.06103515625;-0.8427734375;0.544921875;-0.0130420054201;-0.00457317073171;0.00118563685637;24.9194046649;96655.3505666;376.98104919;0
213.86;0.25;-0.75;0.6;0.06103515625;-0.83984375;0.5380859375;-0.0140582655827;-0.00338753387534;0.00321815718157;24.9194046649;96655.3505666;376.98104919;0
213.868;0.2;-0.65;0.6;0.0634765625;-0.84912109375;0.5322265625;-0.0137195121951;-0.00321815718157;0.00372628726287;24.9194046649;96654.9669738;377.01275889;0
213.877;0.2125;-0.6625;0.6;0.0595703125;-0.84130859375;0.5390625;-0.0127032520325;-0.00321815718157;0.00338753387534;24.9320655499;96658.3460271;376.733433736;0
213.885;0.25;-0.7;0.6;0.04833984375;-0.8505859375;0.53515625;-0.0118563685637;-0.00287940379404;0.0030487804878;24.9320655499;96658.3460271;376.733433736;0
213.893;0.225;-0.7;0.6;0.0625;-0.8515625;0.52734375;-0.0108401084011;-0.00338753387534;0.0030487804878;24.9320655499;96658.3460271;376.733433736;0
213.901;0.2;-0.7;0.6;0.0595703125;-0.85107421875;0.5400390625;-0.00965447154472;-0.00355691056911;0.0015243902439;24.9320655499;96657.1952175;376.828562854;0
213.911;0.2;-0.75;0.6;0.05029296875;-0.853515625;0.525390625;-0.00711382113821;-0.00423441734417;0.0015243902439;24.9320655499;96657.1952175;376.828562854;0
213.918;0.2;-0.75;0.6;0.056640625;-0.84228515625;0.53125;-0.00389566395664;-0.00508130081301;0.0;24.9320655499;96657.1952175;376.828562854;0
213.926;0.15;-0.7;0.55;0.05615234375;-0.8486328125;0.5244140625;0.000338753387534;-0.00542005420054;-0.000508130081301;24.9320655499;96657.1952175;376.828562854;0
213.934;0.15;-0.7;0.55;0.0478515625;-0.85693359375;0.52880859375;0.00592818428184;-0.00660569105691;-0.00186314363144;24.9320655499;96657.5788207;376.796853023;0
