millis,ax,ay,az,gx,gy,gz,mx,my,mz,temp,alt,pitch,yaw,roll
15693,-0.00,0.00,-1.00,0.12,-0.06,0.00,299.17,328.56,-25.74,26.27,1550.73,-70.59,103.18,137.94
15717,-0.00,0.00,-1.00,0.00,-0.12,0.06,299.17,328.56,-25.74,26.26,1550.33,-69.38,100.29,141.05
15741,0.00,0.00,-1.00,0.06,-0.12,-0.12,299.17,328.56,-25.74,26.26,1549.81,-68.12,97.74,143.82
15764,0.00,0.00,-1.00,0.00,-0.18,0.00,299.17,328.56,-25.74,26.26,1550.97,-66.81,95.44,146.33
15790,-0.00,0.00,-1.00,0.06,-0.18,0.06,296.02,312.77,-34.83,26.25,1549.53,-65.38,93.26,148.74
15814,-0.00,0.00,-1.01,0.06,-0.12,0.00,296.02,312.77,-34.83,26.26,1552.28,-64.01,91.45,150.76
15837,0.00,0.00,-1.00,0.00,-0.24,0.06,296.02,312.77,-34.83,26.27,1550.29,-62.62,89.81,152.60
15861,0.00,0.01,-1.00,0.06,-0.12,0.06,296.02,312.77,-34.83,26.24,1551.61,-61.21,88.32,154.28
15885,-0.00,0.00,-1.00,0.00,-0.24,0.00,296.02,312.77,-34.83,26.26,1551.52,-59.78,86.94,155.84
15910,0.00,0.00,-1.00,0.00,-0.06,0.00,318.07,312.77,-31.80,26.26,1550.08,-58.24,85.60,157.38
15934,-0.00,0.00,-1.00,0.06,-0.18,0.00,318.07,312.77,-31.80,26.27,1552.71,-56.79,84.45,158.70
15957,0.00,0.00,-1.00,0.00,-0.18,0.00,318.07,312.77,-31.80,26.24,1552.47,-55.32,83.38,159.93
15981,0.00,0.00,-1.00,0.00,-0.18,0.06,318.07,312.77,-31.80,26.24,1550.53,-53.85,82.38,161.09
16005,-0.00,0.00,-1.00,0.00,-0.24,0.12,318.07,312.77,-31.80,26.24,1549.29,-52.37,81.42,162.18
16029,0.00,0.00,-1.00,0.06,-0.12,-0.06,311.77,319.09,-31.80,26.24,1550.93,-50.87,80.50,163.23
16054,0.00,0.00,-1.00,-0.06,-0.12,0.00,311.77,319.09,-31.80,26.28,1551.73,-49.27,79.56,164.30
16078,0.00,0.01,-1.01,0.00,-0.12,0.00,311.77,319.09,-31.80,26.23,1551.24,-47.77,78.72,165.23
16101,0.00,0.00,-1.00,-0.06,-0.06,0.12,311.77,319.09,-31.80,26.27,1551.24,-46.28,77.90,166.13
16125,0.00,0.00,-1.01,-0.06,-0.12,0.06,311.77,319.09,-31.80,26.25,1549.86,-44.77,77.10,166.99
16149,-0.00,0.00,-1.00,-0.06,-0.12,-0.06,299.17,319.09,-37.86,26.26,1554.84,-43.25,76.32,167.83
16197,-0.00,0.00,-1.00,0.12,-0.24,0.12,299.17,319.09,-37.86,26.24,1551.86,-40.16,74.81,169.41
16221,-0.00,0.00,-1.00,0.00,-0.12,0.18,299.17,319.09,-37.86,26.26,1550.33,-38.62,74.04,170.17
16245,-0.00,0.00,-1.00,0.06,-0.18,0.00,299.17,319.09,-37.86,26.26,1551.06,-37.11,73.31,170.87
16269,-0.00,0.00,-1.00,0.00,-0.24,0.00,305.47,331.72,-37.86,26.25,1552.40,-35.59,72.55,171.57
16293,-0.00,0.00,-1.00,0.00,-0.06,0.00,305.47,331.72,-37.86,26.26,1550.57,-34.09,71.80,172.22
16318,-0.00,0.00,-1.00,0.06,-0.24,0.06,305.47,331.72,-37.86,26.27,1551.06,-32.49,71.00,172.90
16342,-0.00,0.00,-1.01,0.00,-0.24,0.12,305.47,331.72,-37.86,26.27,1550.72,-30.99,70.24,173.51
16365,-0.00,0.00,-1.00,0.06,-0.18,0.12,305.47,331.72,-37.86,26.26,1552.58,-29.49,69.48,174.09
16389,-0.00,0.00,-1.00,-0.06,-0.06,0.06,303.90,333.30,-36.34,26.26,1548.76,-28.00,68.69,174.65
16413,-0.00,0.00,-1.00,0.00,-0.12,0.00,303.90,333.30,-36.34,26.27,1550.60,-26.52,67.90,175.18
16436,-0.00,0.00,-1.00,0.00,-0.12,0.06,303.90,333.30,-36.34,26.27,1550.16,-25.06,67.10,175.69
16466,0.00,0.00,-1.00,-0.06,-0.18,0.00,303.90,333.30,-36.34,26.25,1554.02,-23.23,66.08,176.28
16490,-0.00,0.00,-1.00,0.06,-0.18,0.00,303.90,333.30,-36.34,26.28,1552.64,-21.79,65.25,176.73
16513,-0.00,0.00,-1.01,0.06,-0.18,0.12,300.75,336.46,-30.28,26.26,1551.63,-20.36,64.36,177.16
16537,-0.00,0.01,-1.00,0.06,-0.12,0.12,300.75,336.46,-30.28,26.24,1552.79,-18.95,63.47,177.55
16561,-0.00,0.00,-1.00,0.00,-0.24,0.06,300.75,336.46,-30.28,26.26,1551.82,-17.56,62.55,177.92
16593,-0.00,0.00,-1.00,0.00,-0.06,0.00,300.75,336.46,-30.28,26.28,1550.44,-15.67,61.26,178.37
16617,0.00,0.00,-1.00,0.06,-0.12,0.00,300.75,336.46,-30.28,26.28,1548.85,-14.34,60.28,178.67
16641,-0.00,0.00,-1.00,0.00,-0.24,0.00,307.05,304.87,-24.23,26.28,1550.56,-12.92,59.41,178.91
16664,-0.00,0.00,-1.00,-0.06,-0.12,-0.06,307.05,304.87,-24.23,26.28,1549.40,-11.54,58.52,179.12
16688,-0.00,0.00,-1.00,-0.06,-0.18,0.00,307.05,304.87,-24.23,26.29,1553.56,-10.18,57.58,179.34
16713,-0.00,0.00,-1.00,0.00,-0.24,0.06,307.05,304.87,-24.23,26.27,1554.17,-8.77,56.54,179.53
16737,-0.00,0.00,-1.01,0.00,-0.24,0.06,307.05,304.87,-24.23,26.29,1552.45,-7.49,55.53,179.68
16761,-0.00,0.00,-1.00,-0.06,-0.24,0.06,300.75,311.19,-24.23,26.25,1553.06,-6.30,54.38,179.81
16785,0.00,0.00,-1.00,0.00,-0.12,0.06,300.75,311.19,-24.23,26.27,1553.86,-5.19,53.20,179.93
16808,0.00,0.01,-1.00,0.00,-0.06,-0.12,300.75,311.19,-24.23,26.27,1548.69,-4.16,51.99,179.95
16832,-0.00,0.01,-1.00,0.00,-0.12,0.12,300.75,311.19,-24.23,26.25,1552.73,-3.20,50.75,179.97
16857,-0.00,0.00,-1.01,0.00,-0.18,0.06,300.75,311.19,-24.23,26.29,1552.73,-2.31,49.41,179.99
16881,-0.00,0.00,-1.00,0.06,-0.12,0.00,300.75,311.19,-24.23,26.29,1549.73,-1.61,48.19,179.99
16904,-0.00,0.00,-1.00,-0.06,-0.18,0.00,300.75,317.51,-15.14,26.27,1551.19,-1.07,46.93,179.97
16928,-0.00,0.00,-1.00,-0.06,-0.12,0.06,300.75,317.51,-15.14,26.30,1554.22,-0.68,45.81,179.92
16952,-0.00,0.00,-1.00,0.00,-0.18,0.00,300.75,317.51,-15.14,26.28,1554.68,-0.41,44.84,179.91
16977,0.00,0.00,-1.00,-0.06,-0.18,0.06,300.75,317.51,-15.14,26.28,1552.63,-0.26,44.00,179.87
17000,0.00,0.00,-1.00,0.00,-0.18,0.00,300.75,317.51,-15.14,26.27,1551.71,-0.17,43.38,179.90
17024,-0.00,0.00,-1.00,-0.06,-0.24,0.06,302.32,341.20,-25.74,26.28,1548.05,-0.12,42.45,179.89
17048,-0.00,0.00,-1.00,0.00,-0.18,-0.06,302.32,341.20,-25.74,26.28,1549.18,-0.09,41.71,179.90
17072,-0.00,0.00,-1.01,0.00,-0.12,0.06,302.32,341.20,-25.74,26.29,1550.06,-0.05,41.14,179.87
17095,0.00,0.00,-1.00,0.06,-0.12,0.00,302.32,341.20,-25.74,26.28,1551.84,-0.05,40.71,179.86
17120,0.00,0.00,-1.01,0.06,-0.18,0.00,302.32,341.20,-25.74,26.27,1552.45,-0.09,40.35,179.88
17144,-0.00,0.00,-1.00,-0.12,-0.18,0.06,307.05,323.82,-18.17,26.28,1549.21,-0.04,40.52,179.86
17168,0.00,0.00,-1.00,0.00,-0.24,0.06,307.05,323.82,-18.17,26.28,1551.80,-0.04,40.65,179.81
17191,-0.00,0.00,-1.00,0.06,-0.12,-0.06,307.05,323.82,-18.17,26.30,1551.50,-0.00,40.76,179.84
17215,0.00,0.00,-1.00,0.00,-0.12,0.06,307.05,323.82,-18.17,26.30,1549.54,-0.01,40.84,179.84
17240,-0.00,0.00,-1.00,0.00,-0.18,0.06,307.05,323.82,-18.17,26.29,1553.06,0.02,40.92,179.83
17264,-0.00,0.00,-1.00,-0.06,-0.12,0.06,308.62,315.93,-31.80,26.29,1552.10,0.07,41.12,179.81
17288,-0.00,0.00,-1.00,-0.06,-0.24,0.00,308.62,315.93,-31.80,26.28,1553.39,0.07,41.29,179.78
17311,-0.00,0.01,-1.00,0.00,-0.24,0.00,308.62,315.93,-31.80,26.29,1552.14,0.07,41.42,179.74
17335,0.00,0.00,-1.00,-0.06,-0.12,0.00,308.62,315.93,-31.80,26.31,1552.47,0.04,41.54,179.81
17359,0.00,0.00,-1.01,0.06,-0.18,0.00,308.62,315.93,-31.80,26.27,1555.13,0.02,41.63,179.85
17384,-0.00,0.00,-1.00,0.00,-0.12,-0.06,305.47,325.40,-25.74,26.29,1550.36,0.06,41.47,179.81
17408,-0.00,0.00,-1.00,-0.06,-0.06,0.00,305.47,325.40,-25.74,26.28,1551.16,0.08,41.35,179.86
17431,-0.00,0.00,-1.00,0.00,-0.31,0.00,305.47,325.40,-25.74,26.30,1552.93,0.05,41.26,179.88
17455,0.00,0.00,-1.00,0.00,-0.12,0.00,305.47,325.40,-25.74,26.27,1552.87,0.02,41.19,179.86
17478,-0.00,0.00,-1.01,-0.06,-0.18,-0.06,305.47,325.40,-25.74,26.29,1552.96,0.05,41.13,179.85
17508,-0.00,0.00,-1.00,0.00,-0.24,0.06,299.17,325.40,-28.77,26.30,1551.74,0.02,40.91,179.86
17531,-0.00,0.00,-1.00,0.06,-0.18,0.00,299.17,325.40,-28.77,26.29,1554.31,0.01,40.78,179.88
17555,-0.00,0.00,-1.00,0.06,-0.12,-0.12,299.17,325.40,-28.77,26.29,1549.90,0.01,40.68,179.89
17579,0.00,0.00,-1.00,0.00,-0.12,0.06,299.17,325.40,-28.77,26.27,1553.02,-0.04,40.60,179.87
17620,-0.00,0.00,-1.00,0.00,-0.18,-0.06,299.17,325.40,-28.77,26.30,1552.38,0.01,40.50,179.83
17644,-0.00,0.00,-1.00,0.12,-0.24,0.06,299.17,319.09,-19.69,26.30,1551.53,0.04,40.58,179.84
17669,-0.00,0.01,-1.00,0.06,-0.18,0.06,299.17,319.09,-19.69,26.29,1549.97,0.03,40.64,179.78
17693,-0.00,0.00,-1.00,0.00,-0.12,0.18,299.17,319.09,-19.69,26.28,1550.15,0.04,40.68,179.78
17717,0.00,0.00,-1.00,-0.12,-0.12,0.00,299.17,319.09,-19.69,26.27,1549.26,0.00,40.72,179.80
17740,-0.00,0.00,-1.00,0.06,-0.12,-0.06,299.17,319.09,-19.69,26.31,1551.74,0.02,40.75,179.79
17764,0.00,0.00,-1.00,0.00,-0.12,0.00,307.05,330.14,-36.34,26.32,1552.14,-0.03,40.73,179.83
17790,-0.00,0.00,-1.00,-0.06,-0.12,-0.06,307.05,330.14,-36.34,26.31,1549.78,-0.01,40.71,179.81
17813,-0.00,0.00,-1.01,0.06,-0.18,0.00,307.05,330.14,-36.34,26.31,1551.03,-0.00,40.69,179.81
17837,-0.00,0.00,-1.00,0.12,-0.12,0.00,307.05,330.14,-36.34,26.30,1551.21,0.04,40.68,179.86
17860,-0.00,0.00,-1.00,0.06,-0.18,0.06,307.05,330.14,-36.34,26.30,1553.11,0.03,40.67,179.84
17884,0.00,0.00,-1.00,0.00,-0.24,-0.06,305.47,325.40,-25.74,26.33,1551.19,0.00,40.72,179.80
17908,-0.00,0.00,-1.00,0.00,-0.18,0.00,305.47,325.40,-25.74,26.30,1549.10,0.02,40.76,179.84
17933,-0.00,0.00,-1.00,0.00,-0.24,0.00,305.47,325.40,-25.74,26.32,1549.87,0.06,40.79,179.83
17957,-0.00,0.00,-1.01,0.06,-0.12,0.06,305.47,325.40,-25.74,26.31,1551.49,0.06,40.81,179.81
